년	월	날짜	부품내용	 금액 	 단가 	 주행거리 	경유량( liter)	 실거리Km 	 ?Km/1L 	주유소	비고
2016	1	2016-01-21	경유	" ?30,000 "	" ?1,168 "	" 14,043 "	25.685	 558 	 10.14 	백아에너지	인천 부평구 산곡동 101-4 032-516-5151 김원준 122-86-28243
2016	1	2016-01-25	경유	" ?60,000 "	" ?1,053 "	" 14,315 "	56.980	 272 	 10.59 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	1	2016-01-26	경유	" ?50,000 "	" ?1,039 "	" 14,837 "	48.123	 522 	 9.16 	속리산주유소	충북 보은군 마로면 첮암리 180외 19필지 302-85-06095 043-544-6311
2016	2	2016-02-03	경유	" ?60,000 "	" ?1,027 "	" 15,468 "	58.423	 631 	 13.11 	문광주유소	인천시 남동구 간석동 237-2 
2016	2	2016-02-12	경유	" ?40,000 "	" ?1,038 "	" 16,069 "	38.536	 601 	 10.29 	오리주유소	경기도 광명시 소하동 1077
2016	2	2016-02-17	경유	" ?50,000 "	" ?1,088 "	" 16,465 "	45.956	 396 	 10.28 	제일주유소	경기도 김포시 양촌읍 양곡리 291-2 031-981-5518 윤현종 137-18-45551
2016	2	2016-02-22	경유	" ?59,000 "	 ?987 	" 16,860 "	59.777	 395 	 8.60 	청도유업㈜청도3주유	인천 서구 중봉대로 372 강종훈 032-577-0001 137-81-01479
2016	2	2016-02-26	경유	" ?10,000 "	" ?1,301 "	" 17,611 "	7.686	 751 	 12.56 	GS칼텍스㈜인천국제공항종	인천 중구 운서동 2172-1 032-743-5225 허진수 121-85-15563
2016	2	2016-02-26	경유	" ?60,000 "	 ?997 	" 17,670 "	60.181	 59 	 7.68 	경인터미널㈜그린주유소	경기도 시흥시 소사로 22 031-312-8403 임문례 140-85-19221
2016	3	2016-03-03	경유	" ?50,000 "	" ?1,048 "	" 18,330 "	47.710	 660 	 10.97 	SK경제주유소	경기도 화성시 팔탄면 율암리 580-17 031-353-5144 신종섭 124-38-45460
2016	3	2016-03-09	경유	" ?60,000 "	" ?1,016 "	" 18,877 "	59.055	 547 	 11.47 	기흥주유소	경기도 용인시 기흥구 공세동 277-7031-286-5185 박신광 135-85-23403
2016	3	2016-03-14	경유	" ?50,000 "	" ?1,023 "	" 19,535 "	48.876	 658 	 11.14 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	3	2016-03-18	경유	" ?40,000 "	" ?1,055 "	" 20,077 "	37.915	 542 	 11.09 	수암주유소	경기도 안산시 상록구 수암동 465 김형수 031-482-8118 134-04-61384
2016	3	2016-03-23	경유	" ?52,000 "	" ?1,073 "	" 20,482 "	48.462	 405 	 10.68 	현대오일뱅크㈜직영능곡현대주유소 	경기도 시흥시 군자동 113 140-85-21852 문종박 031-497-5187
2016	3	2016-03-28	경유	" ?50,000 "	" ?1,037 "	" 20,860 "	48.216	 378 	 7.80 	현대오일뱅크광장주유소	인천 남동구 남동대로 462 032-467-5050-우종구139-81-10921
2016	3	2016-03-29	경유	" ?50,000 "	" ?1,062 "	" 21,427 "	47.081	 567 	 11.76 	남성주(여주)주유소	경북 성주군 용암면 본리1리 428 김영재 510-85-07147 054-931-5149
2016	4	2016-04-01	경유	" ?50,000 "	" ?1,067 "	" 22,073 "	46.860	 646 	 13.72 	문광주유소	인천 남동구 간석동 237-2 032-433-4392 131-85-27810 송진수
2016	4	2016-04-07	경유	" ?50,000 "	" ?1,043 "	" 22,560 "	47.939	 487 	 10.39 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	4	2016-04-11	경유	" ?50,000 "	" ?1,097 "	" 22,975 "	45.579	 415 	 8.66 	정남IC주유소	경기도 화성시 정남면 세자로 68 031-352-5185 안성배 143-01-11397
2016	4	2016-04-15	경유	" ?60,000 "	" ?1,048 "	" 23,477 "	57.252	 502 	 11.01 	장수self주유소	인천시 부평구 십정동 316-49 032-421-5547 홍용기 127-43-54190
2016	4	2016-04-18	경유	" ?50,000 "	" ?1,062 "	" 24,101 "	47.081	 624 	 10.90 	KR산업입장주유소	충남 천안시 입장면 가산리 361-7 041-588-2184 박종화 126-81-05325
2016	4	2016-04-21	경유	" ?50,000 "	" ?1,048 "	" 24,460 "	47.710	 359 	 7.63 	우리주유소㈜대원지점	인천 부평구 청천동 58-69 032-501-7319 박찬석 593-85-00173
2016	4	2016-04-28	경유	" ?40,000 "	" ?1,048 "	" 25,016 "	38.168	 556 	 11.65 	우리주유소㈜대원지점	인천 부평구 청천동 58-69 032-501-7319 박찬석 593-85-00173
2016	5	2016-05-11	경유	" ?30,000 "	" ?1,118 "	" 25,502 "	26.834	 486 	 12.73 	초월주유소	경기도 광주시 초월읍 산이리 12-5 031-762-4544 임채남 126-21-84383
2016	5	2016-05-13	경유	" ?40,000 "	" ?1,069 "	" 25,776 "	37.418	 274 	 10.21 	우리주유소㈜대원지점	인천시 부평구 청전동 58-69 
2016	5	2016-05-17	경유	" ?52,000 "	" ?1,119 "	" 26,152 "	46.470	 376 	 10.05 	현대오일뱅크㈜직영능곡현대주유소 	경기도 시흥시 군자동 113번지 문종박 031-497-5189 140-85-21052
2016	5	2016-05-20	경유	" ?30,000 "	" ?1,110 "	" 26,663 "	27.027	 511 	 11.00 	우리주유소㈜대원지점	인천시 부평구 청전동 58-69 
2016	5	2016-05-23	경유	" ?50,000 "	" ?1,154 "	" 26,940 "	43.328	 277 	 10.25 	천안하주유소	충남 천안시 수신면 신풍리 348 041-552-6367 윤종국 312-85-08799
2016	5	2016-05-23	경유	" ?60,000 "	" ?1,108 "	" 27,387 "	54.152	 447 	 10.32 	KR산업입장주유소	충남 천안시 입장면 가산리 361-7 041-588-2184 박종화 126-81-05325
2016	5	2016-05-30	경유	" ?50,000 "	" ?1,137 "	" 27,988 "	43.975	 601 	 11.10 	현대오일뱅크광장주유소	인천시 남동구 남동대로 462 우종구 139-81-10921 032-467-5050
2016	6	2016-06-04	경유	" ?30,000 "	" ?1,224 "	" 28,421 "	24.510	 433 	 9.85 	GS이앤알 하안단지주유소	경기도 광명시 오리로 608 02-899-5202 하영봉 134-81-78493
2016	6	2016-06-05	경유	" ?40,000 "	" ?1,149 "	" 28,581 "	34.813	 160 	 6.53 	행나면천IC하나주유소	충남 당진시 면천면 아미로 93 041-355-5156 이재준 311-81-26684
2016	6	2016-06-08	경유	" ?50,000 "	" ?1,147 "	" 29,059 "	43.592	 478 	 13.73 	현대오일뱅크광장주유소	인천시 남동구 남동대로 462 우종구 139-81-10921 032-467-5050
2016	6	2016-06-13	경유	" ?50,000 "	" ?1,173 "	" 29,525 "	42.626	 466 	 10.69 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	6	2016-06-16	경유	" ?50,000 "	" ?1,215 "	" 29,935 "	41.152	 410 	 9.62 	군자봉주유소	경기도 시흥시 군자동 54-6 031-499-5151 박태근외2 140-05-08187
2016	6	2016-06-17	경유	" ?50,000 "	" ?1,178 "	" 30,366 "	42.445	 431 	 10.47 	우리주유소㈜대원지점	인천시 부평구 청전동 58-69 
2016	6	2016-06-21	경유	" ?50,000 "	" ?1,174 "	" 30,722 "	42.589	 356 	 8.39 	십정주유소	인천시 부평구 경원대로 1037 032-575-7071 이성주 122-35-77816
2016	6	2016-06-24	경유	" ?40,000 "	" ?1,195 "	" 31,145 "	33.473	 423 	 9.93 	OK주유소	경기도 시흥시 수인로 2981 031-311-8431 김노수 140-04-67495
2016	6	2016-06-30	경유	" ?50,000 "	" ?1,178 "	" 31,518 "	42.445	 373 	 11.14 	우리주유소㈜대원지점	인천시 부평구 청전동 58-69 
2016	7	2016-07-06	경유	" ?50,000 "	" ?1,173 "	" 31,903 "	42.626	 385 	 9.07 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	7	2016-07-11	경유	" ?30,000 "	" ?1,239 "	" 32,239 "	24.213	 336 	 7.88 	세양산업	경기도 광명시 노온사동 572-3 133-81-38542 정세희 02-2684-0218
2016	7	2016-07-13	경유	" ?40,000 "	" ?1,232 "	" 32,570 "	32.468	 331 	 13.67 	오리주유소	경기도 광명시 소하동 1077
2016	7	2016-07-13	경유	" ?60,000 "	" ?1,184 "	" 32,839 "	50.676	 269 	 8.29 	칠곡(하)주유소	경북 칠곡군 왜관읍 239-5 054-975-1734 최영자 504-81-25948
2016	7	2016-07-15	경유	" ?60,000 "	" ?1,173 "	" 33,378 "	51.151	 539 	 10.64 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	7	2016-07-20	경유	" ?60,000 "	" ?1,178 "	" 33,890 "	50.934	 512 	 10.01 	서울석유㈜금곡	인천시 서구 봉수대로 1543 032-568-6820 김수남 515-85-14610
2016	7	2016-07-27	경유	" ?60,000 "	" ?1,180 "	" 34,395 "	50.847	 505 	 9.91 	한국도로공사안성(부산)주유소	경기도 안성시 원곡면 반제리 137-3 031-651-5385 김학송 125-82-11307
2016	7	2016-07-27	경유	" ?60,000 "	" ?1,178 "	" 34,801 "	50.934	 406 	 7.98 	신탄진(상)주유소	대전시 대덕구 상서동 236-1 042-934-2445 조남풍 314-82-07228
2016	8	2016-08-03	경유	" ?30,000 "	" ?1,219 "	" 35,438 "	24.610	 637 	 12.51 	태경상사	인천시 부평구 청중로 109 032-524-5189 백혜경 231-81-02256
2016	8	2016-08-08	경유	" ?50,000 "	" ?1,169 "	" 35,634 "	42.772	 196 	 7.96 	대명주유소	경기도 시흥시 소래로 18 031-318-8039 박하범 121-14-17561
2016	8	2016-08-11	경유	" ?50,000 "	" ?1,153 "	" 36,028 "	43.365	 394 	 9.21 	남선석유㈜대명에너지	경기도 시흥시 서해안로 1048 070-8886-5189 김영식 138-85-30897
2016	8	2016-08-16	경유	" ?50,000 "	" ?1,147 "	" 36,354 "	43.592	 326 	 7.52 	우리주유소㈜대원지점	인천시 부평구 청천동 58-69 032-501-7319 박찬석 593-85-00173
2016	8	2016-08-18	경유	" ?40,000 "	" ?1,153 "	" 36,730 "	34.692	 376 	 8.63 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	8	2016-08-19	경유	" ?40,000 "	" ?1,153 "	" 37,199 "	34.692	 469 	 13.52 	다복주유소	경기도 안산시 단원구 시흥대로 128 312-28-29525 김덕기 031-499-5114
2016	8	2016-08-22	경유	" ?60,000 "	" ?1,138 "	" 37,507 "	52.724	 308 	 8.88 	안성맞춤(평택)주유소	경기도 안성시 서운면 신능리 51-16 031-672-9622 곽선기외1 220-81-19330
2016	8	2016-08-27	경유	" ?40,000 "	" ?1,190 "	" 38,125 "	33.613	 618 	 11.72 	당진농협주유소	충남 당진시 동부1로 15 041-350-5850 최영수 311-82-07044
2016	8	2016-08-30	경유	" ?40,000 "	" ?1,219 "	" 38,528 "	32.814	 403 	 11.99 	제일주유소	경기도 시흥시 정왕동 1090외 1091 031-433-7925 김종덕 140-02-53323
2016	8	2016-08-31	경유	" ?50,000 "	" ?1,185 "	" 38,815 "	42.194	 287 	 8.75 	대득에너지(금천셀프주유소)	서울 금천구 시흥동 983외 2필지 02-805-7888 정용석 119-15-53106
2016	9	2016-09-03	경유	" ?30,000 "	" ?1,190 "	" 39,050 "	25.210	 235 	 5.57 	당진농협주유소	충남 당진시 동부1로 15 041-350-5850 최영수 311-82-07044
2016	9	2016-09-05	경유	" ?50,000 "	" ?1,163 "	" 39,300 "	42.992	 250 	 9.92 	남선석유㈜대명에너지	경기도 시흥시 서해안로 1048 070-8886-5189 김영식 138-85-30897
2016	9	2016-09-09	경유	" ?60,000 "	" ?1,134 "	" 39,891 "	52.910	 591 	 13.75 	부자송산주유소	경기도 화성시 송산면 고정리 349-26 최병권 031-357-8194 143-85-02146
2016	9	2016-09-14	경유	" ?40,000 "	" ?1,195 "	" 40,380 "	33.473	 489 	 9.24 	신화곡주유소	서울 강서구 국회대로 71 문성필 109-15-29249
2016	9	2016-09-19	경유	" ?50,000 "	" ?1,147 "	" 40,739 "	43.592	 359 	 10.73 	우리주유소㈜대원지점	인천시 부평구 청천동 58-69 032-501-7319 박찬석 593-85-00173
2016	9	2016-09-23	경유	" ?62,328 "	" ?1,159 "	" 41,211 "	53.777	 472 	 10.83 	태봉에너지송우지점	경기도 포천시 소홀읍 송우리 호국로 7 031-543-5151 김영근 127-85-54716
2016	9	2016-09-29	경유	" ?60,000 "	" ?1,149 "	" 41,823 "	52.219	 612 	 11.38 	케이엔계남주유소	경기도 부
2016	10	2016-10-13	경유	" ?60,000 "	" ?1,145 "	" 42,844 "	52.402	" 1,021 "	 19.55 	구도일신도시	인천 계양구 봉오대로 391 032-554-2994 오진교 833-85-00315
2016	10	2016-10-20	경유	" ?40,000 "	" ?1,166 "	" 43,369 "	34.305	 525 	 10.02 	기흥주유소	경기도 용인시 기흥구 공세동 277-7031-286-5185 박신광 135-85-23403
2016	10	2016-10-24	경유	" ?60,000 "	" ?1,169 "	" 43,708 "	51.326	 339 	 9.88 	대원주유소	경기도 화성시 팔탄면 창곡리 703-4 130-01-31719 031-352-8185 전형구
2016	10	2016-10-28	경유	" ?40,000 "	" ?1,197 "	" 44,096 "	33.417	 388 	 7.56 	대원주유소	인천시 남동구 남촌동 625-68 032-818-8024 오정자 130-05-82837
2016	11	2016-11-03	경유	" ?50,000 "	" ?1,187 "	" 44,617 "	42.123	 521 	 15.59 	은행나무주유소	경기도 부천시 오정구 길주로 571 031-675-5185 이기돈 130-16-96870
2016	11	2016-11-08	경유	" ?60,000 "	" ?1,179 "	" 45,085 "	50.891	 468 	 11.11 	남선석유㈜대명에너지	경기도 시흥시 서해안로 1048 070-8886-5189 김영식 138-85-30897
2016	11	2016-11-11	경유	" ?50,000 "	" ?1,163 "	" 45,498 "	42.992	 413 	 8.12 	화서(상주)주유소	경북 상주시 화서면 상용리 408 054-531-1984 조성호 220-81-19698
2016	11	2016-11-14	경유	" ?40,000 "	" ?1,198 "	" 46,172 "	33.389	 674 	 15.68 	KH에너지㈜직영오산주유소	수도권 제2순환고속도로 14-1 송진수 031-375-5157 124-85-64874
2016	11	2016-11-17	경유	" ?50,000 "	" ?1,175 "	" 46,512 "	42.553	 340 	 10.18 	경원주유소	경기도 광명시 광명로 136 02-2060-5177 정영녀 643-00-083
2016	11	2016-11-24	경유	" ?50,000 "	" ?1,189 "	" 46,900 "	42.052	 388 	 9.12 	현대오일뱅크㈜직영능곡현대주유소 	경기도 시흥시 군자동 113번지 문종박 031-497-5189 140-85-21052
